year,month,wdsp
2005,1,15.0
2005,2,9.3
2005,3,9.2
2005,4,9.9
2005,5,9.7
2005,6,8.2
2005,7,7.3
2005,8,8.3
2005,9,10.2
2005,10,10.2
2005,11,9.7
2005,12,8.5
2006,1,9.4
2006,2,9.3
2006,3,11.3
2006,4,9.8
2006,5,9.6
2006,6,7.4
2006,7,7.5
2006,8,8.4
2006,9,9.3
2006,10,9.3
2006,11,12.6
2006,12,13.0
2007,1,15.1
2007,2,9.2
2007,3,11.3
2007,4,7.1
2007,5,9.7
2007,6,6.7
2007,7,8.4
2007,8,7.5
2007,9,8.1
2007,10,7.0
2007,11,9.5
2007,12,11.8
2008,1,14.3
2008,2,11.8
2008,3,13.0
2008,4,10.1
2008,5,8.1
2008,6,9.1
2008,7,9.1
2008,8,9.4
2008,9,8.1
2008,10,12.1
2008,11,10.7
2008,12,9.3
2009,1,12.0
2009,2,8.8
2009,3,11.3
2009,4,8.6
2009,5,11.3
2009,6,7.4
2009,7,9.0
2009,8,11.2
2009,9,9.0
2009,10,8.4
2009,11,13.6
2009,12,9.7
2010,1,8.5
2010,2,6.5
2010,3,8.0
2010,4,7.6
2010,5,6.2
2010,6,6.4
2010,7,10.0
2010,8,8.5
2010,9,8.9
2010,10,10.0
2010,11,9.6
2010,12,6.2
2011,1,8.8
2011,2,11.1
2011,3,7.4
2011,4,8.5
2011,5,13.5
2011,6,8.6
2011,7,6.4
2011,8,7.6
2011,9,12.6
2011,10,12.7
2011,11,11.5
2011,12,15.6
2012,1,13.4
2012,2,10.1
2012,3,8.5
2012,4,9.1
2012,5,7.0
2012,6,8.1
2012,7,8.0
2012,8,8.6
2012,9,10.4
2012,10,8.2
2012,11,10.6
2012,12,11.2
2013,1,10.3
2013,2,8.7
2013,3,9.6
2013,4,11.7
2013,5,10.4
2013,6,8.5
2013,7,6.6
2013,8,9.0
2013,9,8.3
2013,10,9.6
2013,11,8.8
2013,12,15.3
2014,1,12.9
2014,2,15.9
2014,3,11.0
2014,4,8.6
2014,5,8.7
2014,6,5.9
2014,7,7.7
2014,8,9.9
2014,9,5.7
2014,10,11.1
2014,11,8.0
2014,12,12.8
2015,1,14.2
2015,2,9.8
2015,3,11.7
2015,4,8.1
2015,5,11.4
2015,6,9.5
2015,7,9.4
2015,8,8.2
2015,9,6.8
2015,10,7.0
2015,11,13.0
2015,12,15.8
2016,1,12.2
2016,2,11.9
2016,3,9.3
2016,4,8.7
2016,5,7.7
2016,6,6.8
2016,7,9.4
2016,8,9.4
2016,9,10.2
2016,10,7.2
2016,11,8.5
2016,12,9.6
2017,1,9.1
2017,2,12.3
2017,3,10.9
2017,4,8.1
2017,5,8.3
2017,6,9.8
2017,7,8.7
2017,8,9.0
2017,9,9.4
2017,10,12.2
2017,11,9.8
2017,12,11.4
2018,1,13.4
2018,2,10.6
2018,3,10.1
2018,4,9.8
2018,5,7.9
2018,6,7.3
2018,7,6.8
2018,8,9.3
2018,9,10.0
2018,10,9.4
2018,11,10.7
2018,12,11.3
2019,1,9.4
2019,2,12.0
2019,3,12.5
2019,4,8.3
2019,5,7.1
2019,6,8.3
2019,7,7.6
2019,8,10.5
2019,9,9.3
2019,10,9.1
2019,11,7.5
2019,12,12.4
2020,1,13.0
2020,2,16.3
2020,3,11.5
2020,4,7.7
2020,5,8.5
2020,6,8.7
2020,7,9.3
2020,8,8.4
2020,9,9.3
2020,10,11.1
2020,11,11.7
2020,12,10.9
2021,1,9.3
2021,2,13.4
2021,3,10.9
2021,4,6.9
2021,5,8.2
2021,6,7.8
2021,7,6.1
2021,8,7.7
2021,9,7.5
2021,10,10.6
2021,11,9.8
2021,12,10.6
2022,1,10.2
2022,2,16.1
2022,3,8.3
2022,4,8.9
2022,5,9.9
2022,6,9.1
2022,7,7.9
2022,8,7.5
2022,9,7.2
2022,10,12.0
2022,11,12.4
2022,12,9.2
2023,1,12.1
2023,2,10.5
2023,3,10.1
2023,4,7.8
2023,5,6.7
2023,6,7.7
2023,7,10.5
2023,8,9.1
2023,9,8.9
2023,10,8.3
2023,11,10.3
2023,12,14.0
2024,1,11.6
2024,2,11.5
2024,3,10.4
2024,4,10.4
2024,5,7.0
2024,6,9.0
2024,7,8.1
2024,8,11.8
2024,9,8.4
2024,10,9.3
2024,11,7.8
2024,12,11.8
2025,1,9.4
2025,2,11.8
2025,3,8.4
2025,4,7.5
2025,5,7.5
2025,6,10.2
2025,7,10.6
2025,8,9.3
2025,9,9.5
2025,10,10.6
2025,11,10.5
