year,month,wdsp
2005,1,20.7
2005,2,15.8
2005,3,14.1
2005,4,14.4
2005,5,11.0
2005,6,8.5
2005,7,8.6
2005,8,9.9
2005,9,13.0
2005,10,13.2
2005,11,15.8
2005,12,13.7
2006,1,15.7
2006,2,16.6
2006,3,16.1
2006,4,14.9
2006,5,16.3
2006,6,11.6
2006,7,10.5
2006,8,13.3
2006,9,13.0
2006,10,15.2
2006,11,19.3
2006,12,17.5
2007,1,21.5
2007,2,15.8
2007,3,17.9
2007,4,11.4
2007,5,13.8
2007,6,11.8
2007,7,10.2
2007,8,12.7
2007,9,13.5
2007,10,13.0
2007,11,17.2
2007,12,16.5
2008,1,18.4
2008,2,18.7
2008,3,20.4
2008,4,17.3
2008,5,13.1
2008,6,14.5
2008,7,14.2
2008,8,12.8
2008,9,12.3
2008,10,19.2
2008,11,17.4
2008,12,15.6
2009,1,16.5
2009,2,14.4
2009,3,16.0
2009,4,12.1
2009,5,14.8
2009,6,10.7
2009,7,10.8
2009,8,12.3
2009,9,12.8
2009,10,12.1
2009,11,15.5
2009,12,13.0
2010,1,12.8
2010,2,11.4
2010,3,13.5
2010,4,10.7
2010,5,9.7
2010,6,8.1
2010,7,14.3
2010,8,12.7
2010,9,15.2
2010,10,15.5
2010,11,18.2
2010,12,13.1
2011,1,13.7
2011,2,15.3
2011,3,12.2
2011,4,12.5
2011,5,19.4
2011,6,11.2
2011,7,10.6
2011,8,11.2
2011,9,17.5
2011,10,17.3
2011,11,17.7
2011,12,22.3
2012,1,19.6
2012,2,16.1
2012,3,13.8
2012,4,14.4
2012,5,12.8
2012,6,12.5
2012,7,11.3
2012,8,12.9
2012,9,18.0
2012,10,13.7
2012,11,15.7
2012,12,16.4
2013,1,17.2
2013,2,14.8
2013,3,18.9
2013,4,15.9
2013,5,14.7
2013,6,11.5
2013,7,9.4
2013,8,13.1
2013,9,14.9
2013,10,16.3
2013,11,16.7
2013,12,21.6
2014,1,16.9
2014,2,19.3
2014,3,16.9
2014,4,13.9
2014,5,12.0
2014,6,9.3
2014,7,11.3
2014,8, 
2014,9,10.2
2014,10,16.7
2014,11,13.2
2014,12,19.6
2015,1,22.1
2015,2,15.3
2015,3,16.8
2015,4,12.0
2015,5,16.4
2015,6,13.2
2015,7,13.3
2015,8,12.1
2015,9,13.1
2015,10,12.3
2015,11,18.6
2015,12,19.1
2016,1,18.3
2016,2,17.8
2016,3,13.1
2016,4,15.2
2016,5,12.1
2016,6,9.9
2016,7,12.4
2016,8,13.3
2016,9,14.6
2016,10,13.7
2016,11,14.9
2016,12,16.8
2017,1,16.5
2017,2,17.6
2017,3,14.0
2017,4,14.4
2017,5,11.3
2017,6,14.5
2017,7,13.0
2017,8,13.1
2017,9,15.0
2017,10,18.0
2017,11,16.9
2017,12,16.9
2018,1,18.4
2018,2,17.2
2018,3,17.8
2018,4,14.3
2018,5,11.7
2018,6,9.2
2018,7,9.9
2018,8,13.3
2018,9,16.3
2018,10,16.7
2018,11,17.5
2018,12,15.8
2019,1,15.3
2019,2,15.9
2019,3,18.4
2019,4,15.6
2019,5,10.9
2019,6,12.3
2019,7,11.4
2019,8,13.6
2019,9,13.8
2019,10,16.3
2019,11,14.9
2019,12,17.3
2020,1,19.1
2020,2,22.3
2020,3,16.5
2020,4,12.4
2020,5,13.2
2020,6,12.1
2020,7,13.4
2020,8,11.5
2020,9,14.2
2020,10,17.2
2020,11,15.6
2020,12,17.9
2021,1,15.2
2021,2,20.9
2021,3,14.8
2021,4,12.4
2021,5,12.4
2021,6,12.2
2021,7,7.8
2021,8,9.2
2021,9,11.2
2021,10,14.9
2021,11,18.6
2021,12,15.8
2022,1,17.5
2022,2,22.0
2022,3,12.9
2022,4,13.6
2022,5,14.3
2022,6,13.4
2022,7,11.7
2022,8,11.0
2022,9,13.6
2022,10,16.7
2022,11,16.2
2022,12,15.6
2023,1,17.3
2023,2,16.4
2023,3,13.0
2023,4,13.7
2023,5,10.7
2023,6,10.3
2023,7,13.8
2023,8,14.4
2023,9,13.7
2023,10,17.5
2023,11,14.9
2023,12,18.5
2024,1,16.7
2024,2,16.9
2024,3,17.0
2024,4,15.0
2024,5,10.3
2024,6,14.4
2024,7,11.5
2024,8,15.9
2024,9,13.6
2024,10,15.4
2024,11,14.0
2024,12,18.1
2025,1,15.7
2025,2,17.6
2025,3,13.6
2025,4,12.6
2025,5,10.2
2025,6,13.7
2025,7,12.6
2025,8,12.7
2025,9,14.6
2025,10,16.1
2025,11,17.5
