year,month,wdsp
2005,1,17.1
2005,2,12.3
2005,3,12.0
2005,4,11.6
2005,6,9.7
2005,7,10.0
2005,8,10.1
2005,9,11.7
2005,10,13.7
2005,11,13.8
2005,12,11.2
2006,1,12.9
2006,2,11.1
2006,3,12.8
2006,4,11.6
2006,5,12.4
2006,6,9.5
2006,7,9.5
2006,8,10.9
2006,9,11.7
2006,10,12.0
2006,11,13.0
2006,12,15.7
2007,1,15.8
2007,2,13.2
2007,3,12.7
2007,4,8.5
2007,5,11.8
2007,6,10.6
2007,7,10.0
2007,8,11.2
2007,9,9.8
2007,10,9.4
2007,11,10.9
2007,12,16.9
2008,1,15.7
2008,2,13.2
2008,3,15.6
2008,4,11.7
2008,5,9.7
2008,6,11.4
2008,7,10.4
2008,8,11.3
2008,9,10.3
2008,10,13.7
2008,11,13.7
2008,12,12.0
2009,1,13.3
2009,2,8.8
2009,3,12.4
2009,4,10.9
2009,5,13.3
2009,6,9.7
2009,7,12.4
2009,8,12.8
2009,9,9.8
2009,10,11.1
2009,11,17.2
2009,12,13.0
2010,1,10.5
2010,2,10.1
2010,3,11.2
2010,4,10.2
2010,5,9.4
2010,6,9.6
2010,7,10.9
2010,8,10.4
2010,9,10.8
2010,10,11.8
2010,11,13.0
2010,12,10.6
2011,1,9.9
2011,2,13.5
2011,3,8.6
2011,4,9.9
2011,5,15.3
2011,6,11.6
2011,7,10.2
2011,8,10.1
2011,9,13.8
2011,10,12.8
2011,11,15.4
2011,12,14.4
2012,1,13.2
2012,2,11.7
2012,3,10.4
2012,4,13.5
2012,5,10.1
2012,6,11.1
2012,7,10.5
2012,8,12.4
2012,9,11.2
2012,10,10.8
2012,11,12.9
2012,12,13.8
2013,1,12.8
2013,2,12.7
2013,3,12.6
2013,4,14.3
2013,5,14.2
2013,6,11.1
2013,7,8.6
2013,8,10.6
2013,9,11.0
2013,10,12.4
2013,11,10.2
2013,12,16.6
2014,1,15.5
2014,2,18.5
2014,3,12.4
2014,4,11.1
2014,5,11.0
2014,6,9.1
2014,7,9.7
2014,8,11.6
2014,9,8.0
2014,10,14.2
2014,11,12.1
2014,12,13.5
2015,1,16.1
2015,2,12.1
2015,3,13.5
2015,4, 
2015,5,13.0
2015,6,10.6
2015,7,12.3
2015,8,11.1
2015,9,10.5
2015,10,10.4
2015,11,15.9
2015,12,19.1
2016,1,15.6
2016,2,14.0
2016,3,12.1
2016,4,12.3
2016,5,9.6
2016,6,10.2
2016,7,10.1
2016,8,11.3
2016,9,12.4
2016,10,10.9
2016,11,11.2
2016,12,11.8
2017,1,11.7
2017,2,14.8
2017,3,13.4
2017,4,10.2
2017,5,10.5
2017,6,12.4
2017,7,10.3
2017,8,10.3
2017,9,12.6
2017,10,13.4
2017,11,11.4
2017,12,13.1
2018,1,14.9
2018,2,13.5
2018,3,11.8
2018,4,12.0
2018,5,9.0
2018,6,8.7
2018,7,9.5
2018,8,10.1
2018,9,11.6
2018,10,12.2
2018,11,15.4
2018,12,14.4
2019,1,11.0
2019,2,15.7
2019,3,13.4
2019,4,13.4
2019,5,10.3
2019,6,10.7
2019,7,10.4
2019,8,12.7
2019,9,12.0
2019,10,12.9
2019,11,13.9
2019,12,14.0
2020,1,13.4
2020,2,19.2
2020,3,13.1
2020,4,9.6
2020,5,11.1
2020,6,12.4
2020,7,11.6
2020,8,10.7
2020,9,11.1
2020,10,15.3
2020,11,13.7
2020,12,15.8
2021,1,11.8
2021,2,16.8
2021,3,12.6
2021,4,10.4
2021,5,13.0
2021,6,10.4
2021,7,9.4
2021,8,9.9
2021,9,9.1
2021,10,12.5
2021,11,10.9
2021,12,14.3
2022,1,10.6
2022,2,17.0
2022,3,11.9
2022,4,11.2
2022,5,11.2
2022,6,11.4
2022,7,10.0
2022,8,9.6
2022,9,11.6
2022,10,14.9
2022,11,16.3
2022,12,13.1
2023,1,13.2
2023,2,12.0
2023,3,14.6
2023,4,12.0
2023,5,9.4
2023,6,9.7
2023,7,12.3
2023,8,12.2
2023,9,12.2
2023,10,10.3
2023,11,13.5
2023,12,16.2
2024,1,13.3
2024,2,12.8
2024,3,15.0
2024,4,14.1
2024,5,10.1
2024,6,10.8
2024,7,10.2
2024,8,12.6
2024,9,12.2
2024,10,12.6
2024,11,11.5
2024,12,13.5
2025,1,13.0
2025,2,14.8
2025,3,10.8
2025,4,10.9
2025,5,9.5
2025,6,11.1
2025,7,10.9
2025,8,11.2
2025,9,12.1
2025,10,13.3
2025,11,13.0
